Document_title,Stop number,BOL_Number,BOL_Key,Origin_Address,O_A_Key,Origin_Zip,Origin_City,Origin_State,Origin_Country,Weight_label,Weight,Dest_Address,D_A_Key,Dest_Zip,Dest_City,Dest_State,Dest_Country,B_T_Key,Bill_To_Address,Bill_To_Zip,Bill_To_City,Bill_To_State,Bill_To_Country,Pickup_Date,Delivery_Date
05-26 Abbotsford BC to Nashville TN-1378945,0,813,PO,"TOWNE MILLWORK, 2690 PROGRESSIVE WAY, Abbotsford BC V2T 6H9",1st PICK,"V2T 6H9",ABBOTSFORD,BC,CAN,,,"ISEC Inc. c/o Alexander's Mobility, 7235 Cockrill Bend Blvd., Nashville TN 37209",1st Stop,37209,NASHVILLE,TN,USA,BILL TO,"ISEC, 6000 GREENWOOD PLAZA BLVD, STE 200, GREENWOOD VILLAGE, CO 80111 PO# 813	",80111,GREENWOOD VILLAGE,CO,USA,5/26/2023,6/1/2023
1366695 - Allstates,0,3443192,ORD,401 S. GARY AVE,Street Address,60172,ROSELLE,IL,USA,Total Act. WT,8460,4747 NELSON,Street Address,30518,BUFORD,GA,USA,Street Address,401 S. GARY AVE,60172,ROSELLE,IL,USA,5/9/2023,5/11/2023
1367039 - Allstates (1/2),0,1727346,SO,"663 DOWD AVE ELIZABETH, NJ 07201",Address,7201,ELIZABETH,NJ,USA,Total Weight,8327,"8 C STREET AUBURN, MA 01501",Address,1501,AUBURN,MA,USA,THIRD PARTY FREIGHT CHARGES BILL TO,135 WEST CENTRAL BLVD,32801,ORLANDO,FL,USA,5/26/2023,5/26/2023
1367039 - Allstates (2/2),0,1699847,SO,"1000 FEDERAL BLVD CARTERET, NJ 07008",Address,7008,CARTERET,NJ,USA,Total Weight,10828,"8 C STREET AUBURN, MA 01501",Address,1501,AUBURN,MA,USA,THIRD PARTY FREIGHT CHARGES BILL TO,135 WEST CENTRAL BLVD,32801,ORLANDO,FL,USA,5/26/2023,5/26/2023
1372197 - 859100891 - Traeger,0,859100891,SN,1400 PAUL BUNYAN DR SE,Address,56601,BEMIDJI,MN,USA,,146,26655 COUNTY 7,Address,56470,PARK RAPIDS,MN,USA,BILL FREIGHT CHARGES TO,"Traeger Wood Pellet Grills c/o Uber Freight US LLC PO Box 425 Lowell, AR 72745 United States",72745,LOWELL,AR,USA,5/16/2023,5/16/2023
1373175 - Allstates,0,o1041536,PO,"19560 S RANCHO WAY RANCHO DOMINGUEZ, CA 90220",Address,90220,RANCHO DOMINGUEZ,CA,USA,Total Weight,16243,LAS VEGAS DISTRIBUTION CENTER 4875 E. CHEYENNE AVENUE,Address,89115,LAS VEGAS,NV,USA,THIRD PARTY FREIGHT CHARGES BILL TO ,135 WEST CENTRAL BLVD,32801,ORLANDO,FL,USA,5/23/2023,5/23/2023
1373223-859155997,0,859155997,SN,350 MADILL BLVD,Address,L5W 1Y6,MISSISSAUGA,ON,CAN,,24748,5355 BOULEVARD DES GRADINS,Address,G2J 1C8,QUEBEC,QC,CAN,BILL FREIGHT CHARGES TO,"Traeger Wood Pellet Grills c/o Uber Freight US LLC PO Box 425 Lowell, AR 72745 United States",72745,LOWELL,AR,USA,5/17/2023,5/18/2023
1373256-859119805,0,859119805,SN,4660 68 AVE SE,Address,T2C 4N3,CALGARY,AB,CAN,,36828,5225 BOUNDARY ROAD,Address,K4B 0L3,NAVAN,ON,CAN,BILL FREIGHT CHARGES TO,"Traeger Wood Pellet Grills c/o Uber Freight US LLC PO Box 425 Lowell, AR 72745 United States",72745,LOWELL,AR,USA,5/16/2023,5/20/2023
1374141 - MYR,0,MYR62571,REQID,4315 Allen Geono Rd,Street Address,77504,PASADENA,TX,USA,Weight,19000,1405 Jackson St,Street Address,50158,MARSHALLTOWN,IA,USA,Street Address,12250 East 112th Avenue Mail Stop 6196,80640,HENDERSON,CO,USA,5/17/2023,5/22/2023
1376121,0,5929,PO,"6075 BIRCHWOOD FOODS PO BOX 639 Kenosha, WI 53141",Vendor,53141,KENOSHA,WI,USA,,3385,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,6/1/2023,6/1/2023
